Pclass,Sex,AgeGroup_Binary,FamilySize,Survived,SexEncoded,AgeGroupEncoded
1,male,Adult,1,0,1,1
3,male,Adult,0,0,1,1
1,male,Adult,0,0,1,1
3,female,Adult,2,0,0,1
3,female,Adult,0,1,0,1
3,female,Adult,1,1,0,1
3,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
2,male,Adult,2,0,1,1
3,male,Adult,0,1,1,1
3,female,Child,4,0,0,0
2,male,Adult,2,0,1,1
2,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
1,female,Adult,1,1,0,1
3,male,Adult,0,0,1,1
3,male,Adult,2,0,1,1
3,male,Adult,0,0,1,1
1,male,Adult,1,0,1,1
3,female,Adult,0,1,0,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Child,10,0,1,0
3,male,Adult,1,0,1,1
2,female,Adult,0,1,0,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Child,5,0,1,0
3,male,Child,2,1,1,0
1,female,Adult,1,1,0,1
3,female,Adult,5,0,0,1
1,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
1,male,Adult,0,0,1,1
3,male,Child,5,0,1,0
3,female,Child,2,1,0,0
3,male,Adult,0,0,1,1
1,male,Adult,0,0,1,1
3,male,Adult,2,0,1,1
3,male,Child,4,0,1,0
1,female,Adult,0,0,0,1
2,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,female,Adult,10,0,0,1
2,male,Adult,0,0,1,1
3,male,Child,6,0,1,0
2,male,Child,3,1,1,0
3,female,Child,2,1,0,0
1,male,Adult,0,0,1,1
3,female,Adult,1,1,0,1
1,male,Adult,0,1,1,1
3,male,Adult,2,0,1,1
3,male,Adult,0,0,1,1
2,female,Adult,0,1,0,1
2,male,Adult,0,0,1,1
3,female,Adult,1,1,0,1
2,male,Child,2,1,1,0
1,female,Adult,0,1,0,1
1,female,Adult,0,1,0,1
3,male,Adult,0,0,1,1
3,male,Adult,1,0,1,1
3,female,Adult,0,1,0,1
2,female,Adult,0,0,0,1
3,male,Adult,0,0,1,1
3,male,Adult,10,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,1,1,1
3,female,Child,1,0,0,0
3,male,Adult,1,0,1,1
3,male,Adult,0,1,1,1
3,female,Adult,0,1,0,1
1,male,Adult,0,1,1,1
3,male,Adult,0,0,1,1
2,female,Adult,0,1,0,1
3,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
3,male,Adult,1,0,1,1
1,female,Adult,1,1,0,1
3,female,Adult,0,1,0,1
2,male,Adult,1,0,1,1
1,female,Adult,0,1,0,1
2,male,Adult,0,0,1,1
3,male,Adult,0,1,1,1
2,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
1,male,Adult,1,1,1,1
3,male,Adult,0,0,1,1
2,male,Adult,0,1,1,1
3,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
3,female,Adult,4,0,0,1
1,female,Adult,1,1,0,1
3,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
3,female,Child,6,1,0,0
2,male,Adult,0,0,1,1
3,female,Adult,0,0,0,1
2,male,Adult,1,0,1,1
2,female,Child,2,1,0,0
2,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
3,female,Adult,1,0,0,1
3,female,Adult,1,1,0,1
2,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
1,male,Adult,2,0,1,1
3,female,Adult,0,0,0,1
2,female,Adult,2,1,0,1
1,male,Adult,2,1,1,1
2,male,Adult,1,0,1,1
3,male,Adult,0,0,1,1
3,female,Adult,2,0,0,1
1,male,Adult,0,0,1,1
3,male,Adult,1,0,1,1
3,female,Adult,2,0,0,1
3,female,Adult,2,1,0,1
1,female,Adult,0,1,0,1
1,female,Adult,0,1,0,1
1,female,Adult,0,1,0,1
2,female,Adult,1,1,0,1
3,male,Adult,0,0,1,1
3,male,Child,6,1,1,0
1,male,Adult,2,0,1,1
1,male,Adult,0,0,1,1
3,female,Adult,0,0,0,1
2,male,Adult,0,0,1,1
3,male,Adult,5,0,1,1
3,male,Adult,1,1,1,1
1,female,Adult,1,1,0,1
1,female,Adult,0,1,0,1
1,male,Adult,0,0,1,1
3,male,Adult,0,1,1,1
2,female,Adult,1,1,0,1
1,male,Adult,1,0,1,1
3,female,Adult,0,1,0,1
1,female,Adult,1,1,0,1
3,female,Adult,0,0,0,1
2,male,Adult,0,0,1,1
3,male,Child,5,0,1,0
3,female,Adult,2,1,0,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,1,1,1
1,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,1,1,1
3,male,Adult,0,0,1,1
2,male,Adult,0,1,1,1
3,female,Adult,0,1,0,1
1,female,Adult,0,1,0,1
1,female,Adult,1,1,0,1
2,male,Adult,0,0,1,1
3,female,Adult,0,0,0,1
3,male,Adult,0,0,1,1
1,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
1,female,Child,3,0,0,0
1,male,Adult,0,1,1,1
1,female,Adult,1,1,0,1
3,female,Adult,0,1,0,1
3,male,Adult,2,1,1,1
3,male,Adult,0,0,1,1
2,female,Adult,0,1,0,1
3,male,Adult,0,0,1,1
1,male,Child,3,1,1,0
1,female,Adult,0,1,0,1
1,female,Adult,1,1,0,1
2,male,Adult,1,0,1,1
1,female,Adult,0,1,0,1
1,female,Adult,0,1,0,1
1,female,Adult,4,1,0,1
2,female,Adult,2,0,0,1
3,male,Adult,0,0,1,1
2,male,Adult,2,0,1,1
3,female,Adult,0,1,0,1
2,female,Adult,1,1,0,1
2,male,Adult,0,0,1,1
1,female,Adult,2,1,0,1
1,female,Adult,2,1,0,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
2,female,Adult,0,1,0,1
2,female,Adult,2,1,0,1
3,male,Adult,10,0,1,1
1,female,Adult,0,1,0,1
3,male,Adult,0,0,1,1
2,female,Adult,0,1,0,1
3,female,Adult,2,1,0,1
1,female,Adult,1,1,0,1
3,female,Adult,2,1,0,1
1,male,Adult,0,0,1,1
1,male,Adult,1,0,1,1
3,male,Adult,2,0,1,1
1,female,Adult,1,1,0,1
3,male,Adult,0,0,1,1
1,male,Adult,1,0,1,1
1,female,Adult,0,1,0,1
3,male,Adult,0,1,1,1
1,male,Adult,0,0,1,1
2,male,Child,2,1,1,0
1,female,Adult,5,1,0,1
2,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
2,female,Adult,0,1,0,1
2,female,Adult,0,1,0,1
3,female,Adult,1,1,0,1
3,male,Child,2,1,1,0
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
1,male,Adult,0,0,1,1
3,male,Adult,2,0,1,1
3,male,Adult,1,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
1,female,Adult,1,1,0,1
2,female,Adult,0,0,0,1
3,female,Adult,0,1,0,1
3,female,Adult,0,1,0,1
3,male,Adult,5,0,1,1
2,male,Adult,1,0,1,1
3,female,Adult,1,0,0,1
3,male,Adult,0,0,1,1
3,male,Adult,1,0,1,1
3,male,Adult,0,0,1,1
1,female,Adult,1,1,0,1
3,female,Adult,0,1,0,1
3,female,Adult,0,1,0,1
1,female,Adult,0,1,0,1
1,male,Adult,1,1,1,1
3,male,Adult,1,0,1,1
3,male,Adult,0,0,1,1
1,male,Adult,0,0,1,1
3,female,Child,4,0,0,0
1,female,Adult,1,1,0,1
3,female,Adult,0,1,0,1
1,male,Adult,2,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
1,female,Adult,0,1,0,1
3,female,Child,2,1,0,0
3,male,Adult,0,0,1,1
1,female,Adult,1,1,0,1
3,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
3,male,Child,7,0,1,0
2,female,Adult,0,1,0,1
3,male,Adult,0,0,1,1
2,female,Adult,0,1,0,1
1,male,Adult,3,1,1,1
3,male,Adult,0,1,1,1
3,male,Adult,2,0,1,1
1,female,Adult,1,1,0,1
3,female,Adult,2,1,0,1
3,male,Adult,0,0,1,1
3,female,Adult,0,0,0,1
2,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
2,female,Adult,0,1,0,1
3,male,Adult,0,1,1,1
3,male,Adult,0,0,1,1
3,female,Adult,1,0,0,1
3,male,Adult,1,0,1,1
3,female,Adult,0,0,0,1
2,male,Adult,1,0,1,1
3,male,Adult,0,0,1,1
2,male,Child,2,1,1,0
3,male,Adult,0,0,1,1
3,female,Adult,4,0,0,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
1,female,Adult,1,1,0,1
2,male,Adult,0,0,1,1
3,male,Adult,0,1,1,1
3,female,Adult,0,0,0,1
2,female,Adult,2,1,0,1
2,female,Adult,2,1,0,1
2,male,Adult,0,0,1,1
3,female,Child,2,0,0,0
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,female,Adult,2,0,0,1
3,male,Adult,2,0,1,1
3,male,Adult,0,0,1,1
2,female,Adult,1,1,0,1
2,female,Adult,0,1,0,1
3,male,Adult,0,0,1,1
3,male,Adult,0,1,1,1
1,male,Adult,0,1,1,1
3,female,Adult,1,1,0,1
2,female,Adult,1,1,0,1
3,male,Adult,0,0,1,1
1,male,Adult,1,0,1,1
1,female,Child,3,1,0,0
3,female,Adult,4,0,0,1
2,female,Adult,5,1,0,1
1,male,Adult,5,0,1,1
2,male,Adult,0,0,1,1
2,female,Adult,2,1,0,1
3,male,Adult,0,0,1,1
3,male,Adult,1,0,1,1
2,female,Adult,0,1,0,1
3,male,Adult,0,1,1,1
1,male,Child,2,1,1,0
2,female,Child,1,1,0,0
1,male,Adult,0,1,1,1
3,female,Child,3,1,0,0
1,male,Adult,0,1,1,1
2,male,Adult,3,0,1,1
3,male,Adult,1,0,1,1
1,male,Adult,0,0,1,1
1,male,Adult,1,1,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,1,1,1
1,male,Adult,0,0,1,1
1,female,Adult,1,1,0,1
2,female,Adult,0,1,0,1
3,male,Adult,0,0,1,1
1,male,Adult,0,1,1,1
3,male,Adult,0,0,1,1
1,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
1,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,female,Child,3,1,0,0
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
2,female,Adult,3,1,0,1
2,female,Adult,0,1,0,1
3,female,Adult,0,0,0,1
1,male,Adult,0,0,1,1
2,male,Adult,1,0,1,1
3,male,Adult,1,0,1,1
3,male,Adult,0,0,1,1
3,female,Child,1,1,0,0
3,male,Child,7,0,1,0
2,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,female,Adult,0,1,0,1
1,male,Adult,1,1,1,1
3,female,Adult,4,0,0,1
1,female,Adult,1,1,0,1
1,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Child,2,1,1,0
3,male,Adult,1,0,1,1
3,male,Adult,0,0,1,1
1,male,Adult,0,0,1,1
1,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
1,female,Adult,1,1,0,1
3,male,Adult,0,0,1,1
1,female,Adult,3,0,0,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,female,Adult,0,0,0,1
3,female,Adult,0,0,0,1
3,female,Adult,0,0,0,1
1,female,Adult,0,1,0,1
1,male,Adult,1,0,1,1
2,female,Adult,2,1,0,1
1,male,Adult,0,1,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,1,1,1
3,male,Adult,0,1,1,1
3,male,Adult,0,0,1,1
1,male,Adult,0,1,1,1
1,female,Adult,1,1,0,1
3,male,Adult,0,0,1,1
1,male,Adult,0,0,1,1
2,female,Adult,0,1,0,1
3,male,Adult,0,0,1,1
2,female,Adult,1,1,0,1
3,male,Adult,0,0,1,1
1,female,Adult,0,1,0,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
1,female,Adult,1,1,0,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
2,female,Adult,0,1,0,1
1,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
2,male,Adult,3,0,1,1
2,female,Child,2,1,0,0
3,male,Adult,0,0,1,1
3,male,Adult,2,0,1,1
3,female,Adult,2,1,0,1
3,female,Adult,0,0,0,1
2,female,Child,2,1,0,0
1,male,Adult,0,0,1,1
1,female,Adult,0,1,0,1
3,male,Adult,0,0,1,1
1,female,Adult,2,1,0,1
1,female,Adult,2,1,0,1
3,female,Child,6,0,0,0
3,female,Child,6,0,0,0
2,male,Adult,1,1,1,1
1,male,Adult,1,0,1,1
1,male,Adult,0,0,1,1
2,female,Adult,1,1,0,1
2,male,Adult,0,1,1,1
3,male,Adult,2,0,1,1
2,male,Child,2,1,1,0
1,male,Adult,2,1,1,1
2,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,1,1,1
3,female,Adult,0,1,0,1
1,male,Adult,0,0,1,1
1,female,Adult,1,1,0,1
1,male,Adult,0,0,1,1
1,female,Adult,2,1,0,1
3,female,Adult,1,1,0,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,female,Adult,0,0,0,1
3,male,Adult,2,0,1,1
3,male,Adult,0,0,1,1
3,female,Adult,4,0,0,1
3,male,Adult,0,0,1,1
3,male,Adult,0,1,1,1
2,male,Adult,0,1,1,1
1,female,Adult,2,1,0,1
1,male,Adult,0,1,1,1
3,female,Adult,0,1,0,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
2,female,Adult,0,1,0,1
1,female,Adult,1,1,0,1
3,female,Adult,1,0,0,1
3,male,Adult,0,1,1,1
2,female,Adult,2,1,0,1
1,female,Adult,2,1,0,1
2,male,Adult,0,0,1,1
1,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
1,female,Adult,2,1,0,1
2,male,Adult,0,0,1,1
1,male,Adult,2,1,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
1,female,Adult,1,1,0,1
3,male,Adult,0,0,1,1
3,female,Adult,2,0,0,1
2,male,Adult,1,0,1,1
3,male,Adult,2,0,1,1
2,female,Adult,0,1,0,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
1,male,Adult,1,1,1,1
2,female,Adult,3,1,0,1
3,male,Adult,0,0,1,1
1,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
1,male,Adult,0,1,1,1
3,male,Adult,1,0,1,1
3,male,Adult,0,0,1,1
1,male,Adult,0,1,1,1
2,female,Adult,3,1,0,1
1,female,Adult,0,1,0,1
3,female,Adult,6,0,0,1
3,male,Adult,0,0,1,1
3,female,Adult,1,1,0,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
2,female,Adult,3,1,0,1
3,male,Adult,2,0,1,1
3,female,Adult,1,0,0,1
2,female,Child,3,1,0,0
2,male,Adult,0,0,1,1
3,male,Adult,1,0,1,1
1,male,Adult,1,1,1,1
3,male,Adult,2,1,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
1,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
1,female,Adult,0,1,0,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
1,male,Adult,0,1,1,1
3,male,Adult,0,0,1,1
1,male,Adult,0,1,1,1
1,male,Adult,0,0,1,1
3,female,Child,5,0,0,0
2,female,Adult,0,1,0,1
3,male,Adult,0,0,1,1
2,male,Adult,2,0,1,1
3,female,Adult,5,0,0,1
3,male,Adult,1,0,1,1
3,male,Adult,0,0,1,1
1,female,Adult,0,1,0,1
3,female,Child,5,0,0,0
3,male,Adult,0,1,1,1
3,female,Child,3,1,0,0
1,male,Adult,1,1,1,1
3,male,Adult,0,0,1,1
1,male,Adult,0,1,1,1
3,male,Adult,0,0,1,1
3,female,Adult,0,1,0,1
3,male,Adult,0,0,1,1
2,female,Adult,1,1,0,1
3,male,Adult,0,0,1,1
3,female,Adult,0,1,0,1
3,female,Adult,0,0,0,1
2,male,Adult,2,0,1,1
3,male,Adult,0,0,1,1
3,female,Adult,2,0,0,1
2,male,Adult,0,0,1,1
1,male,Adult,2,0,1,1
1,male,Adult,2,1,1,1
3,male,Adult,0,0,1,1
1,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,1,1,1,1
2,male,Adult,2,0,1,1
2,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
1,female,Adult,1,1,0,1
2,female,Adult,2,1,0,1
1,male,Adult,1,0,1,1
2,male,Adult,0,0,1,1
2,male,Adult,0,1,1,1
2,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,female,Adult,0,1,0,1
3,female,Adult,7,0,0,1
1,male,Adult,1,1,1,1
3,female,Adult,0,0,0,1
1,male,Adult,0,1,1,1
3,male,Adult,0,0,1,1
3,male,Child,7,0,1,0
2,male,Adult,2,0,1,1
2,male,Adult,3,0,1,1
3,male,Child,5,0,1,0
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
1,female,Adult,1,1,0,1
1,male,Adult,1,1,1,1
3,female,Child,1,1,0,0
3,male,Adult,0,1,1,1
3,male,Adult,0,0,1,1
1,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,female,Adult,0,1,0,1
1,male,Adult,2,0,1,1
3,male,Adult,0,0,1,1
1,female,Adult,1,1,0,1
1,male,Adult,0,1,1,1
3,female,Adult,1,0,0,1
3,male,Adult,0,0,1,1
3,male,Adult,1,0,1,1
2,male,Adult,0,0,1,1
2,female,Adult,0,1,0,1
1,male,Adult,0,1,1,1
1,female,Adult,0,1,0,1
3,male,Child,2,1,1,0
1,female,Adult,0,1,0,1
1,male,Adult,0,0,1,1
1,male,Adult,1,1,1,1
3,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
1,female,Adult,0,1,0,1
2,female,Adult,0,1,0,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
2,female,Child,1,1,0,0
3,male,Adult,1,0,1,1
2,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
1,male,Adult,1,1,1,1
3,male,Adult,0,0,1,1
2,female,Adult,3,1,0,1
3,female,Adult,0,1,0,1
2,male,Adult,1,0,1,1
3,female,Adult,1,0,0,1
1,female,Adult,0,1,0,1
3,male,Child,0,0,1,0
2,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,female,Adult,4,0,0,1
1,male,Adult,0,1,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
1,male,Adult,0,1,1,1
1,male,Adult,1,0,1,1
1,female,Adult,4,1,0,1
3,male,Adult,1,0,1,1
3,male,Adult,0,1,1,1
1,male,Adult,2,0,1,1
3,male,Adult,2,0,1,1
2,female,Adult,0,1,0,1
1,male,Adult,1,0,1,1
3,male,Adult,0,0,1,1
2,female,Child,2,1,0,0
3,male,Child,1,1,1,0
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
2,female,Adult,3,1,0,1
2,male,Child,2,1,1,0
3,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
1,female,Adult,0,1,0,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,1,1,1
1,female,Adult,3,1,0,1
3,male,Adult,0,0,1,1
1,female,Adult,1,1,0,1
1,male,Adult,0,0,1,1
3,female,Adult,0,0,0,1
3,male,Adult,1,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
2,female,Adult,0,0,0,1
3,male,Adult,0,0,1,1
2,female,Adult,4,1,0,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,female,Child,0,1,0,0
3,male,Adult,0,0,1,1
1,female,Adult,1,1,0,1
3,female,Child,0,1,0,0
1,female,Adult,1,1,0,1
1,male,Adult,0,0,1,1
3,male,Adult,3,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,female,Adult,0,1,0,1
3,male,Child,5,0,1,0
3,male,Child,3,1,1,0
1,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
3,female,Adult,10,0,0,1
1,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
1,female,Adult,0,1,0,1
3,female,Adult,0,1,0,1
3,male,Adult,0,0,1,1
3,female,Adult,2,0,0,1
2,male,Adult,0,0,1,1
2,female,Adult,2,1,0,1
1,male,Child,3,1,1,0
3,male,Child,1,1,1,0
3,male,Adult,0,1,1,1
3,male,Adult,0,0,1,1
1,male,Adult,0,0,1,1
3,female,Adult,0,0,0,1
2,male,Adult,0,0,1,1
1,female,Adult,1,1,0,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
3,female,Child,6,0,0,0
3,male,Adult,0,0,1,1
1,male,Adult,0,0,1,1
3,female,Adult,0,0,0,1
2,male,Adult,2,0,1,1
3,male,Adult,0,0,1,1
3,male,Child,5,0,1,0
1,female,Adult,2,1,0,1
3,male,Adult,0,1,1,1
1,male,Adult,0,0,1,1
3,female,Adult,1,1,0,1
3,male,Child,5,0,1,0
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
2,male,Child,2,1,1,0
3,male,Adult,0,1,1,1
1,female,Adult,0,1,0,1
3,female,Adult,1,1,0,1
2,male,Child,2,1,1,0
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
1,female,Adult,2,1,0,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,1,1,1
1,male,Adult,0,1,1,1
3,male,Adult,0,0,1,1
2,male,Adult,0,0,1,1
1,female,Adult,0,1,0,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Adult,10,0,1,1
3,male,Adult,0,0,1,1
2,male,Adult,1,0,1,1
1,female,Adult,1,1,0,1
3,male,Child,6,0,1,0
3,male,Adult,0,0,1,1
3,female,Child,2,0,0,0
1,female,Adult,1,1,0,1
2,female,Adult,1,0,0,1
3,female,Adult,1,1,0,1
1,female,Adult,2,1,0,1
1,male,Adult,0,1,1,1
3,female,Adult,3,1,0,1
3,male,Adult,0,0,1,1
3,male,Adult,2,0,1,1
2,male,Adult,1,0,1,1
1,female,Adult,0,1,0,1
3,female,Adult,10,0,0,1
2,male,Adult,0,0,1,1
2,female,Adult,0,1,0,1
2,female,Adult,1,1,0,1
1,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
3,male,Child,2,1,1,0
3,male,Adult,0,0,1,1
1,female,Adult,2,1,0,1
1,male,Adult,0,0,1,1
3,male,Adult,0,0,1,1
